"","rev.date","rev.sum","rev.rating","rev.title","rev.pros","rev.cons"
"1","May 3, 2013","Amazingly refreshing culture. Smart, Real genuine people,loving every minute!!!","5.0","Current Employee - Anonymous Employee ","Awesome culture, amazing people, great product  - were just getting started!!","None , seriously don't change a thing"
"2","Jun 26, 2013","Newly hired, couldn't be happier with the opportunity","5.0","Current Employee - Direct Sales in San Francisco, CA","Great Interview experience from start to finish","No cons so far, everything is great so far"
"3","Jul 12, 2013","Great place to work, room for growth and AWESOME culture","4.0","Current Employee - Account Manager in San Francisco, CA","The culture is awesome and I love how we really protect our brand and care about how we are perceived to the public and ensure its a positive experience for clients.","As we grow its been difficult to maintain the close knit feel, this is part of the growth process, so if all employees keep that as a priority we will do great!"
"4","Jul 24, 2013","Best company to work for in the Bay Area!","5.0","Current Employee - Anonymous Employee in San Francisco, CA","Inspiring, compassionate and open-minded leadership. Awesome product. 

Where else can you speak with awesome coworkers across 4 global timezones in one day?","Wish I had found Xero sooner."
"5","Sep 10, 2013","New Hire - Denver, CO","5.0","Current Employee - Customer Support Specialist in Denver, CO","I recently completed the interview process and am excited for my start date to come. I can honestly say that I've never been more excited to start a new job. It is clear that their philosophy is happy employees make great employees. I could see this in the people that I had interviewed with. They were interested in finding out who I am and what I have to offer, as opposed to how well I can answer obscure interview questions....","None that I'm aware of."
"6","Nov 28, 2013","Beautiful Accounting Software, Beautiful Culture & A Beautiful Career!","5.0","Current Employee - Customer Experience Specialist in Milton Keynes, England","Amazing culture.
Working with like-minded people.
Fresh challenges every day.
Ideas are always welcomed.
Great career progression.
Huge growth.
Plenty of opportunities.
Awesome product.
Global team.


""Choose a job you love, and you will never have to work a day in your life."" - Confucius (Think he must of worked for Xero)","In a year and a half, I am yet to find one."
"7","Dec 2, 2013","Love working for this company!","5.0","Current Employee - Front End Engineer in New York, NY","- Talented and passionate group of people with amazing leadership
- Big, global company, but with a family-like culture
- Really cool product that continues to gain more and more recognition
- Great communication within the company","- I have yet to find a con"
"8","Dec 3, 2013","A relaxed and friendly atmosphere with highly motivated teams all round.","4.0","Current Employee - Anonymous Employee in Wellington, Wellington","- Like minded colleagues
- Freedom to explore new ways in current processes 
- We have a barista 
- Training opportunities in your field
- Career Opportunities 
- Getting the newest technologies
- A global company with such potential 
- Overseas office transfers","Having multiple building in Wellington to accommodate us all...One large office would be ideal."
"9","Dec 11, 2013","Fun and rewarding place to work","5.0","Current Employee - Quality Assurance in New York, NY","Energetic, focused, customer-driven culture that pervades from top down. Supportive management and co-workers. Laid-back work environment. Can see that employees are sincerely happy to be working in an organization that is changing the market and excited about what they deliver to customers and the online accounting community.","Some growing pains with expanding globally like meetings across time zones but seems like strictly a telecomms issue that needs to be resolved."
"10","Dec 12, 2013","Great place to work","5.0","Current Employee - Customer Service Experience Specialist-Payroll in Denver, CO","The people at Xero have a great understanding of how people should be treated; both employees and customers.","The only thing that has came up is their new insurance but its not terrible. With their growth they are having to get different insurance and figure out what works best. I'm confident this will work out fine."
